PLAYER_NAME,GP,G,AVG_SEAS_ADJ_GPG,ADJ_G,ADJ_GPG,A,AVG_SEAS_ADJ_APG,ADJ_A,ADJ_APG,PTS,AVG_SEAS_ADJ_PTSPG,ADJ_PTS,ADJ_PTSPG
Adam Larsson,547,21,0.039295835,22.89563725,0.041856741,106,0.192997694,112.2773552,0.205260247,127,0.234283427,136.2816306,0.249143749
Adam Lowry,408,57,0.14861211,61.76835145,0.151393018,66,0.174222456,68.94863998,0.168991765,123,0.321971078,130.3096722,0.319386451
Adam Mair,615,38,0.068703616,42.09479651,0.068446824,76,0.110125621,79.97447632,0.130039799,114,0.178916728,122.2847526,0.198836996
Adam McQuaid,512,16,0.036533681,17.56266142,0.034302073,57,0.110265893,60.92944542,0.119002823,73,0.14758684,78.99688149,0.154290784
Adam Oates*,1337,341,0.23791773,323.7743945,0.242164843,1079,0.74783098,1023.072764,0.765200272,1420,0.988760954,1351.00576,1.010475512
Adam Pardy,342,4,0.010351675,4.366544138,0.012767673,48,0.145721824,50.851372,0.148688222,52,0.158400657,56.03681203,0.163850328
Adam Payerl,2,0,0,0,0,0,0,0,0,0,0,0,0
Adam Pelech,247,12,0.041523839,12.54529753,0.050790678,49,0.206722551,49.49340683,0.200378165,61,0.249758488,62.37037631,0.252511645
Adam Pineault,3,0,0,0,0,0,0,0,0,0,0,0,0
Adie Lafrance,3,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Aucoin,1108,121,0.16100772,135.3654641,0.122170996,278,0.236650718,295.3180475,0.266532534,399,0.398291725,432.0866409,0.389969893
Adrian Kempe,256,41,0.151685976,42.21573196,0.164905203,62,0.232323791,61.96810195,0.242062898,103,0.383835951,104.104713,0.406659035
Adrien Plavsic,214,16,0.076759797,14.04342674,0.065623489,56,0.2094689,47.91414705,0.223897883,72,0.286986305,62.17684113,0.290545987
Aggie Kukulowicz,4,1,0.211000539,1.266003236,0.316500809,0,0,0,0,1,0.221367637,1.328205825,0.332051456
Aki Berg,606,15,0.028513165,16.77180085,0.027676239,70,0.123883063,74.40305462,0.122777318,85,0.15319342,91.68816883,0.151300609
Akim Aliu,7,2,0.56962572,2.278502879,0.325500411,1,0.270979977,1.08391991,0.154845701,3,0.828243436,3.312973743,0.473281963
Al Arbour*,626,12,0.032233371,12.5304209,0.020016647,58,0.104153043,61.32451562,0.097962485,70,0.136488904,73.82862043,0.117937093
Al Buchanan,4,0,0,0,0,1,0.222398735,1.334392411,0.333598103,1,0.20691841,1.241510462,0.310377616
Al Cameron,282,11,0.029729539,9.72664365,0.034491644,44,0.155497574,39.23549861,0.139132974,55,0.185207947,48.93547813,0.173530064
Al Conroy,114,9,0.078641819,7.988849079,0.070077624,14,0.122941,12.03543819,0.105574019,23,0.201530517,20.01931707,0.175608044
Al Dewsbury,357,30,0.098504495,35.54431978,0.099563921,78,0.247611149,101.8199351,0.285209902,108,0.344641018,136.1542836,0.381384548
